id,source,destination,data_rates,TR
0,0,9,49,75.423
1,0,18,78,74.518
2,1,8,64,74.86399999999999
3,1,8,52,75.289
4,1,11,92,74.268
5,2,18,42,75.79899999999999
6,3,6,91,74.283
7,3,11,64,74.86399999999999
8,3,17,60,74.98899999999999
9,3,23,94,74.238
10,4,13,92,74.268
11,4,22,75,74.582
12,6,10,46,75.57300000000001
13,6,15,80,74.477
14,6,16,95,74.223
15,6,20,72,74.652
16,7,12,76,74.56
17,7,21,96,74.209
18,7,21,50,75.377
19,8,10,96,74.209
20,8,17,56,75.13
21,9,6,42,75.79899999999999
22,10,6,99,74.167
23,10,13,56,75.13
24,11,6,48,75.471
25,11,6,55,75.168
26,11,9,98,74.181
27,12,9,55,75.168
28,12,19,44,75.682
29,12,19,93,74.252
30,13,4,91,74.283
31,13,5,65,74.835
32,13,7,94,74.238
33,13,10,97,74.194
34,13,19,89,74.315
35,14,5,43,75.73899999999999
36,14,18,56,75.13
37,14,19,69,74.726
38,15,1,76,74.56
39,16,8,71,74.676
40,16,15,49,75.423
41,18,15,69,74.726
42,19,7,48,75.471
43,19,21,83,74.42
44,20,1,42,75.79899999999999
45,20,8,43,75.73899999999999
46,21,3,68,74.752
47,22,9,96,74.209
48,23,2,43,75.73899999999999
49,23,22,86,74.366
