id,source,destination,data_rates,TR
0,1,5,79,74.497
1,1,11,44,75.682
2,2,4,71,74.676
3,2,12,86,74.366
4,3,14,92,74.268
5,3,20,42,75.79899999999999
6,3,23,69,74.726
7,4,1,84,74.40100000000001
8,4,1,74,74.605
9,4,19,96,74.209
10,5,14,90,74.29899999999999
11,5,16,76,74.56
12,5,21,85,74.383
13,5,21,50,75.377
14,5,22,70,74.70100000000001
15,6,0,73,74.628
16,6,3,74,74.605
17,7,11,97,74.194
18,7,19,85,74.383
19,9,11,61,74.957
20,9,14,89,74.315
21,9,20,87,74.34899999999999
22,10,2,97,74.194
23,11,16,81,74.458
24,11,21,89,74.315
25,12,10,51,75.332
26,12,20,81,74.458
27,13,7,44,75.682
28,13,8,59,75.023
29,13,16,87,74.34899999999999
30,14,7,45,75.626
31,14,17,62,74.925
32,14,19,76,74.56
33,15,4,65,74.835
34,15,21,58,75.057
35,16,0,82,74.438
36,17,2,52,75.289
37,17,23,81,74.458
38,18,0,48,75.471
39,18,5,93,74.252
40,19,14,63,74.89399999999999
41,20,0,49,75.423
42,20,3,79,74.497
43,20,12,87,74.34899999999999
44,20,22,84,74.40100000000001
45,21,17,63,74.89399999999999
46,22,13,83,74.42
47,22,19,52,75.289
48,23,9,80,74.477
49,23,22,95,74.223
