id,source,destination,data_rates,TR
0,0,3,79,37.301614770683834
1,0,4,67,37.442778513285106
2,1,5,64,37.48537481325325
3,1,17,95,37.164242444784634
4,1,20,92,37.18667783981465
5,1,23,80,37.29157767030629
6,2,7,41,37.98495467139333
7,2,21,47,37.81425417831495
8,3,4,49,37.765379206429685
9,4,9,59,37.56480622110088
10,4,17,77,37.32239214361373
11,5,8,89,37.2104888985585
12,6,16,66,37.45659545688316
13,8,10,93,37.17905255304339
14,9,2,43,37.923559769910796
15,9,5,71,37.39098987287112
16,10,16,59,37.56480622110088
17,10,16,52,37.69818875730294
18,10,19,58,37.582131622132614
19,11,1,92,37.18667783981465
20,11,1,93,37.17905255304339
21,11,1,41,37.98495467139333
22,11,5,55,37.63740016232012
23,11,5,57,37.59998873008728
24,12,13,61,37.53165746315781
25,12,20,70,37.40344197197376
26,12,20,96,37.157049187586125
27,12,20,72,37.37884716291769
28,13,0,95,37.164242444784634
29,13,2,80,37.29157767030629
30,13,14,66,37.45659545688316
31,16,1,83,37.26278013980199
32,16,9,48,37.78937895353953
33,16,14,88,37.218753825231495
34,16,22,57,37.59998873008728
35,17,9,55,37.63740016232012
36,18,21,87,37.227191303872864
37,19,7,93,37.17905255304339
38,20,0,43,37.923559769910796
39,20,13,85,37.24460610873838
40,20,23,47,37.81425417831495
41,20,23,89,37.2104888985585
42,22,10,74,37.355444609170476
43,22,10,89,37.2104888985585
44,22,10,66,37.45659545688316
45,22,14,55,37.63740016232012
46,22,21,99,37.13626930022939
47,23,14,88,37.218753825231495
48,23,21,82,37.27216763919369
49,23,22,70,37.40344197197376
