id,source,destination,data_rates,TR
0,0,10,63,74.89399999999999
1,0,21,61,74.957
2,1,17,58,75.057
3,2,6,95,74.223
4,3,4,44,75.682
5,3,20,71,74.676
6,4,9,99,74.167
7,4,18,93,74.252
8,5,12,67,74.779
9,5,20,51,75.332
10,6,2,43,75.73899999999999
11,6,5,72,74.652
12,6,8,87,74.34899999999999
13,7,3,88,74.332
14,7,4,75,74.582
15,7,12,99,74.167
16,7,18,81,74.458
17,7,21,87,74.34899999999999
18,9,13,56,75.13
19,11,16,46,75.57300000000001
20,11,23,88,74.332
21,12,23,68,74.752
22,13,0,85,74.383
23,15,4,69,74.726
24,15,5,66,74.807
25,15,6,55,75.168
26,15,8,40,75.92699999999999
27,15,23,74,74.605
28,16,1,70,74.70100000000001
29,16,6,96,74.209
30,17,21,59,75.023
31,18,1,85,74.383
32,18,2,74,74.605
33,18,6,98,74.181
34,19,0,97,74.194
35,19,7,78,74.518
36,20,7,96,74.209
37,20,12,45,75.626
38,20,16,57,75.093
39,20,22,63,74.89399999999999
40,21,6,50,75.377
41,21,7,51,75.332
42,21,19,67,74.779
43,22,4,86,74.366
44,22,19,63,74.89399999999999
45,22,21,41,75.862
46,23,7,61,74.957
47,23,7,65,74.835
48,23,10,56,75.13
49,23,19,98,74.181
