id,source,destination,data_rates,TR
0,0,13,73,37.36700237599409
1,1,0,46,37.840054368058865
2,1,3,81,37.2817644426715
3,1,12,43,37.923559769910796
4,1,21,59,37.56480622110088
5,2,8,49,37.765379206429685
6,2,16,87,37.227191303872864
7,3,9,97,37.149991772318295
8,3,13,75,37.34416348834902
9,4,8,67,37.442778513285106
10,4,13,87,37.227191303872864
11,5,1,58,37.582131622132614
12,5,1,50,37.74220895753981
13,5,10,40,38.017589693702504
14,5,11,43,37.923559769910796
15,5,15,54,37.65700972825613
16,6,7,65,37.47078897704576
17,6,9,55,37.63740016232012
18,6,13,95,37.164242444784634
19,7,0,48,37.78937895353953
20,7,1,69,37.41621552662307
21,7,2,67,37.442778513285106
22,7,18,55,37.63740016232012
23,8,4,75,37.34416348834902
24,9,7,53,37.67726176747924
25,9,19,63,37.500369601818775
26,10,23,98,37.1430663713911
27,11,0,64,37.48537481325325
28,11,17,54,37.65700972825613
29,12,3,48,37.78937895353953
30,12,16,48,37.78937895353953
31,13,0,90,37.20239125939691
32,13,3,93,37.17905255304339
33,13,16,86,37.23580682328201
34,13,22,63,37.500369601818775
35,16,8,87,37.227191303872864
36,17,2,57,37.59998873008728
37,18,1,83,37.26278013980199
38,18,5,57,37.59998873008728
39,18,11,97,37.149991772318295
40,18,12,49,37.765379206429685
41,18,14,62,37.51579094120173
42,19,12,64,37.48537481325325
43,19,23,86,37.23580682328201
44,19,23,83,37.26278013980199
45,20,11,93,37.17905255304339
46,22,21,67,37.442778513285106
47,23,0,62,37.51579094120173
48,23,13,68,37.42932324357242
49,23,14,43,37.923559769910796
