id,source,destination,data_rates,TR
0,0,5,76,74.56
1,0,17,71,74.676
2,2,21,49,75.423
3,2,21,69,74.726
4,3,17,48,75.471
5,4,22,83,74.42
6,4,22,42,75.79899999999999
7,5,17,43,75.73899999999999
8,6,10,68,74.752
9,6,15,96,74.209
10,6,15,43,75.73899999999999
11,6,16,86,74.366
12,6,20,75,74.582
13,7,5,51,75.332
14,7,12,65,74.835
15,7,21,40,75.92699999999999
16,8,15,81,74.458
17,8,17,93,74.252
18,10,6,48,75.471
19,10,13,62,74.925
20,10,22,67,74.779
21,11,6,81,74.458
22,11,6,92,74.268
23,11,12,51,75.332
24,12,16,81,74.458
25,12,19,41,75.862
26,12,19,44,75.682
27,13,4,56,75.13
28,13,5,68,74.752
29,14,7,72,74.652
30,14,13,96,74.209
31,14,18,55,75.168
32,14,19,71,74.676
33,15,1,74,74.605
34,16,8,70,74.70100000000001
35,16,15,72,74.652
36,19,7,46,75.57300000000001
37,19,21,40,75.92699999999999
38,20,1,50,75.377
39,20,4,52,75.289
40,20,4,45,75.626
41,20,8,66,74.807
42,20,17,73,74.628
43,21,3,57,75.093
44,22,0,85,74.383
45,22,9,45,75.626
46,22,16,58,75.057
47,23,2,82,74.438
48,23,7,89,74.315
49,23,22,92,74.268
