id,source,destination,data_rates,TR
0,0,11,82,74.438
1,0,14,42,75.79899999999999
2,0,15,68,74.752
3,1,4,85,74.383
4,1,21,92,74.268
5,3,23,41,75.862
6,4,0,88,74.332
7,4,2,60,74.98899999999999
8,4,10,81,74.458
9,4,15,72,74.652
10,6,14,86,74.366
11,6,19,90,74.29899999999999
12,7,8,71,74.676
13,7,13,76,74.56
14,7,18,82,74.438
15,8,6,74,74.605
16,8,9,64,74.86399999999999
17,8,9,58,75.057
18,8,10,92,74.268
19,9,0,66,74.807
20,9,1,42,75.79899999999999
21,9,11,70,74.70100000000001
22,10,8,56,75.13
23,12,0,70,74.70100000000001
24,12,3,87,74.34899999999999
25,12,17,87,74.34899999999999
26,13,18,79,74.497
27,14,10,85,74.383
28,15,9,57,75.093
29,16,2,92,74.268
30,16,5,84,74.40100000000001
31,17,1,66,74.807
32,17,2,42,75.79899999999999
33,17,8,59,75.023
34,17,18,65,74.835
35,18,12,77,74.539
36,18,16,50,75.377
37,19,17,99,74.167
38,19,23,45,75.626
39,20,3,62,74.925
40,20,14,67,74.779
41,20,18,80,74.477
42,21,2,40,75.92699999999999
43,21,4,91,74.283
44,21,13,82,74.438
45,22,0,90,74.29899999999999
46,22,15,73,74.628
47,22,16,51,75.332
48,23,9,89,74.315
49,23,22,58,75.057
