id,source,destination,data_rates,TR
0,0,4,75,37.34416348834902
1,0,9,74,37.355444609170476
2,0,13,95,37.164242444784634
3,0,16,71,37.39098987287112
4,0,17,73,37.36700237599409
5,0,21,82,37.27216763919369
6,0,23,68,37.42932324357242
7,1,4,91,37.19445585623754
8,1,18,66,37.45659545688316
9,1,19,79,37.301614770683834
10,1,19,57,37.59998873008728
11,1,20,77,37.32239214361373
12,1,23,87,37.227191303872864
13,2,9,76,37.333149136404685
14,3,1,76,37.333149136404685
15,3,21,99,37.13626930022939
16,5,0,87,37.227191303872864
17,5,8,59,37.56480622110088
18,6,4,80,37.29157767030629
19,6,11,51,37.719825426798955
20,7,5,75,37.34416348834902
21,8,5,53,37.67726176747924
22,8,10,93,37.17905255304339
23,8,14,53,37.67726176747924
24,8,17,82,37.27216763919369
25,8,20,65,37.47078897704576
26,8,21,72,37.37884716291769
27,9,1,85,37.24460610873838
28,9,17,56,37.618402662930386
29,10,5,53,37.67726176747924
30,10,9,79,37.301614770683834
31,11,8,82,37.27216763919369
32,12,2,41,37.98495467139333
33,13,11,96,37.157049187586125
34,13,14,74,37.355444609170476
35,13,23,67,37.442778513285106
36,15,3,64,37.48537481325325
37,15,17,50,37.74220895753981
38,17,12,82,37.27216763919369
39,17,14,63,37.500369601818775
40,18,9,57,37.59998873008728
41,18,16,82,37.27216763919369
42,18,17,82,37.27216763919369
43,19,7,71,37.39098987287112
44,20,0,55,37.63740016232012
45,20,2,43,37.923559769910796
46,20,17,59,37.56480622110088
47,20,19,79,37.301614770683834
48,21,9,90,37.20239125939691
49,23,6,42,37.95363786309809
