id,source,destination,data_rates,TR
0,0,3,47,37.81425417831495
1,0,4,49,37.765379206429685
2,1,2,59,37.56480622110088
3,1,17,77,37.32239214361373
4,1,20,89,37.2104888985585
5,1,23,66,37.45659545688316
6,2,7,93,37.17905255304339
7,2,16,43,37.923559769910796
8,2,21,71,37.39098987287112
9,3,4,59,37.56480622110088
10,4,9,52,37.69818875730294
11,4,17,58,37.582131622132614
12,5,8,92,37.18667783981465
13,6,16,93,37.17905255304339
14,7,20,41,37.98495467139333
15,8,10,55,37.63740016232012
16,9,2,57,37.59998873008728
17,9,5,61,37.53165746315781
18,10,16,70,37.40344197197376
19,10,16,96,37.157049187586125
20,10,19,72,37.37884716291769
21,11,1,95,37.164242444784634
22,11,1,80,37.29157767030629
23,11,1,66,37.45659545688316
24,11,5,83,37.26278013980199
25,11,5,48,37.78937895353953
26,12,13,88,37.218753825231495
27,12,20,57,37.59998873008728
28,12,20,55,37.63740016232012
29,12,20,87,37.227191303872864
30,13,0,93,37.17905255304339
31,13,2,43,37.923559769910796
32,13,14,85,37.24460610873838
33,16,1,47,37.81425417831495
34,16,9,89,37.2104888985585
35,16,22,74,37.355444609170476
36,17,9,89,37.2104888985585
37,18,21,66,37.45659545688316
38,20,0,55,37.63740016232012
39,20,23,99,37.13626930022939
40,20,23,88,37.218753825231495
41,21,4,82,37.27216763919369
42,21,20,70,37.40344197197376
43,22,7,90,37.20239125939691
44,22,10,73,37.36700237599409
45,22,10,74,37.355444609170476
46,22,21,45,37.86683286322227
47,23,14,83,37.26278013980199
48,23,21,55,37.63740016232012
49,23,22,63,37.500369601818775
