,id,source,destination,data_rates
0,0,1,4,39
1,1,6,11,33
2,2,3,11,74
3,3,5,10,32
4,4,10,13,39
5,5,2,6,79
6,6,0,7,66
7,7,7,10,68
8,8,2,11,87
9,9,4,12,86
10,10,1,5,65
11,11,0,7,49
12,12,1,2,38
13,13,7,13,92
14,14,2,5,98
15,15,2,12,96
16,16,5,10,75
17,17,7,12,36
18,18,6,13,35
19,19,2,12,42
20,20,1,6,32
21,21,5,9,81
22,22,0,1,40
23,23,2,3,75
24,24,5,9,86
25,25,4,12,70
26,26,2,7,56
27,27,11,13,88
28,28,0,12,51
29,29,6,10,52
30,30,1,3,85
31,31,3,7,65
32,32,7,13,48
33,33,2,10,82
34,34,0,7,41
35,35,4,9,95
36,36,1,13,45
37,37,0,13,35
38,38,6,7,35
39,39,3,12,84
40,40,1,5,88
41,41,0,10,82
42,42,1,7,83
43,43,0,13,98
44,44,2,7,63
45,45,10,12,85
46,46,4,7,60
47,47,1,11,97
48,48,3,7,30
49,49,5,11,99
50,50,4,8,70
51,51,5,6,54
52,52,8,11,69
53,53,2,12,51
54,54,6,12,41
55,55,1,3,77
56,56,0,6,78
57,57,2,8,86
58,58,7,12,54
59,59,2,12,47
60,60,11,12,54
61,61,5,6,53
62,62,2,8,95
63,63,9,13,83
64,64,9,10,50
65,65,8,10,73
66,66,1,12,84
67,67,2,3,90
68,68,7,8,94
69,69,6,7,72
70,70,3,12,34
71,71,11,12,45
72,72,3,11,91
73,73,12,13,59
74,74,3,12,76
75,75,3,13,85
76,76,6,13,47
77,77,2,13,69
78,78,3,9,46
79,79,0,13,30
80,80,6,13,84
81,81,4,10,31
82,82,5,10,57
83,83,7,10,47
84,84,1,9,44
85,85,8,11,77
86,86,9,11,94
87,87,2,4,30
88,88,6,10,82
89,89,2,8,86
90,90,1,13,94
91,91,1,4,99
92,92,5,11,38
93,93,4,7,66
94,94,7,13,88
95,95,1,13,75
96,96,1,5,97
97,97,3,7,97
98,98,3,11,98
99,99,7,9,34
