,id,source,destination,data_rates,TR
0,0,7,12,67,74.779
1,1,6,8,30,76.771
2,2,4,11,41,75.862
3,3,12,13,48,75.471
4,4,3,9,32,76.568
5,5,3,12,78,74.518
6,6,1,13,32,76.568
7,7,5,10,65,74.835
8,8,3,5,64,74.86399999999999
9,9,2,5,49,75.423
10,10,5,6,71,74.676
11,11,7,9,50,75.377
12,12,11,12,95,74.223
13,13,7,8,30,76.771
14,14,4,13,70,74.70100000000001
15,15,3,8,56,75.13
16,16,1,2,56,75.13
17,17,1,8,31,76.667
18,18,6,7,78,74.518
19,19,10,13,69,74.726
20,20,5,8,84,74.40100000000001
21,21,9,10,86,74.366
22,22,1,8,47,75.521
23,23,5,13,44,75.682
24,24,2,6,56,75.13
25,25,0,3,81,74.458
26,26,7,12,38,76.066
27,27,3,7,60,74.98899999999999
28,28,0,9,31,76.667
29,29,10,11,35,76.29899999999999
30,30,2,13,80,74.477
31,31,4,12,87,74.34899999999999
32,32,1,10,94,74.238
33,33,5,10,94,74.238
34,34,2,11,74,74.605
35,35,3,11,39,75.995
36,36,3,4,34,76.384
37,37,2,8,85,74.383
38,38,1,13,82,74.438
39,39,6,13,74,74.605
40,40,1,10,81,74.458
41,41,10,13,44,75.682
42,42,9,13,86,74.366
43,43,1,13,99,74.167
44,44,1,9,59,75.023
45,45,1,11,47,75.521
46,46,1,11,64,74.86399999999999
47,47,1,10,77,74.539
48,48,3,6,90,74.29899999999999
49,49,7,13,97,74.194
50,50,5,7,39,75.995
51,51,1,6,79,74.497
52,52,7,11,35,76.29899999999999
53,53,11,13,37,76.14
54,54,1,2,39,75.995
55,55,8,10,66,74.807
56,56,1,10,64,74.86399999999999
57,57,3,5,61,74.957
58,58,2,7,86,74.366
59,59,3,7,67,74.779
60,60,2,7,77,74.539
61,61,0,10,64,74.86399999999999
62,62,5,12,53,75.247
63,63,0,5,48,75.471
64,64,1,7,99,74.167
65,65,3,13,48,75.471
66,66,2,3,86,74.366
67,67,3,6,65,74.835
68,68,4,13,52,75.289
69,69,0,5,73,74.628
70,70,8,13,30,76.771
71,71,8,11,34,76.384
72,72,0,8,95,74.223
73,73,1,5,94,74.238
74,74,0,2,89,74.315
75,75,4,12,94,74.238
76,76,6,8,78,74.518
77,77,6,13,85,74.383
78,78,1,8,79,74.497
79,79,10,13,44,75.682
80,80,3,12,62,74.925
81,81,0,6,86,74.366
82,82,1,5,30,76.771
83,83,2,8,69,74.726
84,84,8,13,60,74.98899999999999
85,85,0,4,34,76.384
86,86,2,10,61,74.957
87,87,5,9,89,74.315
88,88,7,13,73,74.628
89,89,0,5,82,74.438
90,90,7,9,96,74.209
91,91,0,5,53,75.247
92,92,2,4,82,74.438
93,93,1,13,91,74.283
94,94,9,12,60,74.98899999999999
95,95,5,6,67,74.779
96,96,3,13,76,74.56
97,97,6,11,63,74.89399999999999
98,98,0,11,43,75.73899999999999
99,99,8,13,46,75.57300000000001
